vehicle_id,max_brake,apex_throttle,exit_throttle,corner_duration,apex_lateral_g,cluster,cluster_label
GR86-002-000,24.485333333333333,6.9115,86.45916666666668,168.65,0.5102666666666666,3,High-Speed Demon
GR86-002-002,40.44390476190476,9.269761904761905,93.67195238095238,85.21428571428572,0.7607428571428572,0,Smooth & Consistent
GR86-002-2,65.99140151515152,7.8023030303030305,93.93649242424242,50.4219696969697,0.7674318181818182,1,Aggressive Late-Braker
GR86-003-017,55.55020220588236,4.191323529411765,94.1154411764706,51.02757352941177,0.7384944852941178,1,Aggressive Late-Braker
GR86-004-078,55.41437500000001,6.917333333333334,91.89416666666666,80.54166666666666,0.5887916666666667,2,Early Apex Specialist
GR86-004-78,51.23627200577201,6.890059163059163,91.08748340548341,52.86103896103896,0.6190784992784993,2,Early Apex Specialist
GR86-006-007,35.887352941176474,7.779999999999999,95.5729411764706,54.23529411764706,0.654235294117647,0,Smooth & Consistent
GR86-006-7,47.118525265303255,6.350034559702017,92.02724198819313,64.93782240494764,0.7364281362007169,2,Early Apex Specialist
GR86-008-113,61.27974358974359,4.5025641025641026,89.95201923076924,64.45192307692308,0.8036794871794872,1,Aggressive Late-Braker
GR86-009-005,42.058526785714285,6.807470238095239,95.04684523809524,43.44345238095238,0.6014136904761904,2,Early Apex Specialist
GR86-010-016,43.906974431818185,3.3939488636363633,93.50559659090908,71.80681818181819,0.7323465909090908,2,Early Apex Specialist
GR86-010-16,46.438925092764386,6.361923623995053,89.99359871675942,98.58887600494744,0.610067316017316,2,Early Apex Specialist
GR86-012-8,49.653491375291374,6.069639023721377,89.49943074180722,76.26895379130674,0.49795555189908136,2,Early Apex Specialist
GR86-013-080,48.358000000000004,4.198,92.51675,55.525,0.6542999999999999,2,Early Apex Specialist
GR86-013-80,49.85552621175686,7.108484087596991,89.2835285750031,69.39992595646522,0.587594294801405,2,Early Apex Specialist
GR86-015-031,58.23801785714286,4.646214285714286,93.53864285714286,47.10714285714286,0.679025,1,Aggressive Late-Braker
GR86-015-31,61.567058823529415,3.1410508840288256,94.6553727944169,52.13596656611363,0.5608274812061578,2,Early Apex Specialist
GR86-016-055,55.637443181818185,4.779022727272728,93.56847727272728,78.60909090909091,0.9678431818181817,1,Aggressive Late-Braker
GR86-016-55,45.56327195796091,3.7250442012348706,91.56667254926728,88.65259439231042,0.7170165489254942,2,Early Apex Specialist
GR86-017-067,52.97787087912087,6.148708791208791,95.64881868131869,69.68406593406593,0.7998983516483515,1,Aggressive Late-Braker
GR86-021-86,39.69216763651003,10.948209641706924,88.24936454216073,110.11162165129555,0.6519097990777338,0,Smooth & Consistent
GR86-022-013,57.582941176470584,6.219411764705883,93.62411764705882,48.1764705882353,0.746,1,Aggressive Late-Braker
GR86-022-13,64.52328333333334,6.0798499999999995,93.84134166666666,59.23,0.8981083333333334,1,Aggressive Late-Braker
GR86-024-041,39.780151515151516,10.034924242424243,91.09174242424243,52.532828282828284,0.7362904040404041,0,Smooth & Consistent
GR86-024-41,60.64183544389979,7.237607026143791,91.1576964869281,47.181481481481484,0.721785348583878,1,Aggressive Late-Braker
GR86-025-047,57.644368131868134,5.27804945054945,92.26013736263737,69.8543956043956,0.5247280219780219,2,Early Apex Specialist
GR86-025-47,50.88733798096092,3.9385986094497607,92.6280471491228,90.94850976874002,0.5857702327551834,2,Early Apex Specialist
